fips1,name,year,UR,year,UR,year,UR,year,UR,year,UR,year,UR,year,UR,year,UR,year,UR,Median Household Income 2018,% State Median 
51000,Virginia,2011,6.6,2012,6.1,2013,5.7,2014,5.2,2015,4.5,2016,4.1,2017,3.7,2018,3,2019,2.8,"$72,600 ",100.00%
51001,"Accomack County, VA",2011,8.4,2012,7.9,2013,7.2,2014,6.7,2015,5.5,2016,4.9,2017,4.5,2018,3.9,2019,3.5,"$42,879 ",59.10%
51003,"Albemarle County, VA",2011,5.6,2012,5.2,2013,4.8,2014,4.5,2015,3.9,2016,3.6,2017,3.3,2018,2.7,2019,2.5,"$80,392 ",110.70%
51005,"Alleghany County, VA",2011,7.9,2012,7.1,2013,6.6,2014,5.9,2015,5.1,2016,5.1,2017,4.6,2018,3.8,2019,3.4,"$46,538 ",64.10%
51007,"Amelia County, VA",2011,7.5,2012,6.5,2013,5.9,2014,5.3,2015,4.5,2016,4.3,2017,4,2018,3.3,2019,3.2,"$57,280 ",78.90%
51009,"Amherst County, VA",2011,7.3,2012,6.7,2013,6.1,2014,5.4,2015,4.8,2016,4.4,2017,4.1,2018,3.3,2019,3.2,"$50,580 ",69.70%
51011,"Appomattox County, VA",2011,8,2012,7.4,2013,6.5,2014,5.7,2015,4.9,2016,4.7,2017,4.4,2018,3.7,2019,3.5,"$51,131 ",70.40%
51013,"Arlington County, VA",2011,3.8,2012,3.5,2013,3.5,2014,3.3,2015,2.8,2016,2.6,2017,2.5,2018,2,2019,1.9,"$120,950 ",166.60%
51015,"Augusta County, VA",2011,6.3,2012,5.8,2013,5.2,2014,4.7,2015,4.1,2016,3.7,2017,3.4,2018,2.8,2019,2.4,"$60,556 ",83.40%
51017,"Bath County, VA",2011,6.3,2012,5.8,2013,5.3,2014,4.5,2015,4.1,2016,3.7,2017,3,2018,2.5,2019,2.5,"$50,564 ",69.60%
51019,"Bedford County, VA",2011,6.5,2012,6,2013,5.7,2014,5.1,2015,4.4,2016,4.1,2017,3.9,2018,3.1,2019,2.9,"$61,186 ",84.30%
51021,"Bland County, VA",2011,7.4,2012,7,2013,6.8,2014,6,2015,5.7,2016,5.3,2017,4.1,2018,3.2,2019,2.8,"$47,681 ",65.70%
