fips1,name,year,UR,year,UR,year,UR,year,UR,year,UR,year,UR,year,UR,year,UR,year,UR,Median Household Income 2018,% State Median 
53000,Washington,2011,9.3,2012,8.1,2013,7,2014,6.1,2015,5.6,2016,5.3,2017,4.7,2018,4.5,2019,4.3,"$74,023 ",100.00%
53001,"Adams County, WA",2011,10.1,2012,9.1,2013,8.4,2014,7.2,2015,7.1,2016,6.5,2017,5.8,2018,5.6,2019,5.7,"$52,012 ",70.30%
53003,"Asotin County, WA",2011,8.9,2012,7.8,2013,6.6,2014,5.4,2015,4.9,2016,5,2017,4.2,2018,4.4,2019,4.1,"$49,776 ",67.20%
53005,"Benton County, WA",2011,8.2,2012,9.3,2013,8.9,2014,7.5,2015,6.8,2016,6.3,2017,5.6,2018,5.4,2019,5.2,"$69,212 ",93.50%
53007,"Chelan County, WA",2011,8.4,2012,8,2013,7.3,2014,6.2,2015,5.7,2016,5.7,2017,4.9,2018,4.7,2019,4.9,"$57,243 ",77.30%
53009,"Clallam County, WA",2011,10.9,2012,10.5,2013,9.6,2014,8.4,2015,8.3,2016,7.6,2017,6.9,2018,6.5,2019,6.6,"$57,183 ",77.30%
53011,"Clark County, WA",2011,11.7,2012,9.4,2013,8.5,2014,7,2015,6.6,2016,6.1,2017,5.2,2018,4.9,2019,4.7,"$73,971 ",99.90%
53013,"Columbia County, WA",2011,9.4,2012,8.3,2013,8,2014,7.1,2015,6.6,2016,6.5,2017,5.7,2018,5.7,2019,5.5,"$53,700 ",72.50%
53015,"Cowlitz County, WA",2011,11.9,2012,10.7,2013,9.8,2014,8.1,2015,7.9,2016,7.2,2017,6.2,2018,6.1,2019,6,"$58,624 ",79.20%
53017,"Douglas County, WA",2011,9.4,2012,9.1,2013,8.3,2014,7.1,2015,6.5,2016,6.9,2017,5.7,2018,5.5,2019,5.6,"$65,912 ",89.00%
53019,"Ferry County, WA",2011,17.4,2012,15.7,2013,13.5,2014,11.4,2015,10.4,2016,10.4,2017,11.2,2018,11.9,2019,11.3,"$40,468 ",54.70%
53021,"Franklin County, WA",2011,9,2012,9.7,2013,9.4,2014,8.3,2015,7.7,2016,7.5,2017,6.4,2018,6.2,2019,6.4,"$60,483 ",81.70%
53023,"Garfield County, WA",2011,7.6,2012,7.6,2013,7.4,2014,6.6,2015,6.3,2016,5.9,2017,5.4,2018,6,2019,5.4,"$50,185 ",67.80%
53025,"Grant County, WA",2011,10.1,2012,9.5,2013,8.7,2014,7.4,2015,7.4,2016,7.2,2017,6.3,2018,6.4,2019,6.9,"$53,688 ",72.50%
53027,"Grays Harbor County, WA",2011,13.6,2012,13,2013,11.9,2014,10.1,2015,9.2,2016,8.3,2017,7.2,2018,6.9,2019,7.1,"$48,763 ",65.90%
53029,"Island County, WA",2011,9.1,2012,8.1,2013,7.4,2014,6.6,2015,6.2,2016,5.9,2017,5.3,2018,5.4,2019,5,"$65,987 ",89.10%
