fips1,name,year,UR,year,UR,year,UR,year,UR,year,UR,year,UR,year,UR,year,UR,year,UR,Median Household Income 2018,% State Median 
56000,Wyoming,2011,5.8,2012,5.3,2013,4.7,2014,4.1,2015,4.3,2016,5.3,2017,4.2,2018,3.9,2019,3.6,"$62,259 ",100.00%
56001,"Albany County, WY",2011,4.2,2012,4.3,2013,3.8,2014,3.4,2015,3.2,2016,3.2,2017,2.9,2018,3.2,2019,3.1,"$47,561 ",76.40%
56003,"Big Horn County, WY",2011,6.1,2012,5.6,2013,5.2,2014,4.5,2015,4.5,2016,5,2017,4.2,2018,4.5,2019,4.2,"$55,195 ",88.70%
56005,"Campbell County, WY",2011,4.9,2012,4.6,2013,4.2,2014,3.3,2015,4,2016,7.2,2017,4.8,2018,3.9,2019,3.7,"$78,112 ",125.50%
56007,"Carbon County, WY",2011,6,2012,5.2,2013,4.3,2014,4,2015,3.8,2016,4.7,2017,4,2018,3.6,2019,3.3,"$61,773 ",99.20%
56009,"Converse County, WY",2011,4.8,2012,4.3,2013,3.7,2014,3,2015,3.7,2016,6.2,2017,4.4,2018,3.5,2019,2.7,"$68,162 ",109.50%
56011,"Crook County, WY",2011,4.9,2012,4.9,2013,4.4,2014,3.9,2015,3.5,2016,4.6,2017,3.5,2018,3.1,2019,3.2,"$64,053 ",102.90%
56013,"Fremont County, WY",2011,6.4,2012,6,2013,5.7,2014,5,2015,5.6,2016,7.2,2017,5.5,2018,5,2019,4.4,"$51,204 ",82.20%
56015,"Goshen County, WY",2011,4.8,2012,4.7,2013,4.2,2014,3.6,2015,3.3,2016,3.5,2017,2.9,2018,3.2,2019,3.6,"$51,676 ",83.00%
56017,"Hot Springs County, WY",2011,5.1,2012,4.7,2013,4.7,2014,4.1,2015,4.2,2016,4.8,2017,3.9,2018,3.5,2019,3.5,"$49,356 ",79.30%
56019,"Johnson County, WY",2011,6.3,2012,5.3,2013,5.1,2014,4.5,2015,4.9,2016,5.4,2017,4.2,2018,3.8,2019,3.6,"$57,676 ",92.60%
56021,"Laramie County, WY",2011,6.2,2012,5.8,2013,4.8,2014,4.3,2015,4,2016,4.2,2017,3.6,2018,3.7,2019,3.5,"$63,839 ",102.50%
56023,"Lincoln County, WY",2011,7.8,2012,7.1,2013,5.7,2014,5.1,2015,4.8,2016,4.7,2017,3.7,2018,3.7,2019,3.3,"$69,598 ",111.80%
56025,"Natrona County, WY",2011,6.1,2012,5.1,2013,4.5,2014,4,2015,4.9,2016,7.2,2017,5.2,2018,4.5,2019,3.9,"$64,714 ",103.90%
56027,"Niobrara County, WY",2011,4.2,2012,3.8,2013,3.5,2014,3.3,2015,3,2016,3.3,2017,2.8,2018,2.7,2019,2.7,"$51,036 ",82.00%
56029,"Park County, WY",2011,5.8,2012,5.5,2013,5.1,2014,4.5,2015,4.3,2016,4.7,2017,4.2,2018,4.2,2019,4,"$58,873 ",94.60%
56031,"Platte County, WY",2011,5,2012,4.9,2013,4.4,2014,3.8,2015,4,2016,4.8,2017,3.7,2018,3.6,2019,3.4,"$54,165 ",87.00%
56033,"Sheridan County, WY",2011,6.9,2012,6.2,2013,5.5,2014,4.6,2015,4.3,2016,4.7,2017,3.9,2018,3.9,2019,3.5,"$58,307 ",93.70%
56035,"Sublette County, WY",2011,4.6,2012,4.9,2013,4.7,2014,4.3,2015,5.3,2016,6.5,2017,4.5,2018,4.1,2019,4.4,"$74,570 ",119.80%
56037,"Sweetwater County, WY",2011,5.3,2012,4.8,2013,4.4,2014,4,2015,4.8,2016,6.1,2017,4.5,2018,4,2019,3.9,"$73,315 ",117.80%
56039,"Teton County, WY",2011,7.5,2012,6.7,2013,5.6,2014,4.6,2015,3.9,2016,3.5,2017,2.8,2018,2.9,2019,2.7,"$99,087 ",159.20%
56041,"Uinta County, WY",2011,6.2,2012,5.6,2013,5.3,2014,4.8,2015,5.1,2016,5.8,2017,4.5,2018,4.2,2019,3.9,"$63,401 ",101.80%
56043,"Washakie County, WY",2011,5.6,2012,5.2,2013,5,2014,4.3,2015,4.2,2016,4.8,2017,4,2018,4.1,2019,3.9,"$55,190 ",88.60%
56045,"Weston County, WY",2011,4.6,2012,4.1,2013,3.6,2014,3.3,2015,3.4,2016,5,2017,3.9,2018,3.3,2019,2.9,"$54,319 ",87.20%
